undefined247,8,32648,1,1,1
257,8,35253,1,2,1
7,9,145,1,1,1
18,9,387,1,1,1
29,9,750,1,1,1
40,9,1234,1,1,1
51,9,1839,1,1,1
62,9,2565,1,1,1
73,9,3412,1,1,1
95,9,5469,1,1,1
106,9,6679,1,1,1
117,9,8010,1,1,1
133,9,10162,1,1,1
144,9,11790,1,1,1
155,9,13539,1,1,1
166,9,15409,1,1,1
177,9,17400,1,1,1
188,9,19512,1,1,1
199,9,21745,1,1,1
210,9,24099,1,1,1
221,9,26574,1,1,1
232,9,29170,1,1,1
238,9,30637,1,1,1
265,9,37684,1,2,1
276,9,40764,1,2,1
287,9, ,1,2,1
298,9,47287,1,2,1
309,9,50730,1,2,1
320,9,54294,1,2,1
331,9,57979,1,2,1
342,9,61785,1,2,1
348,9,63912,1,2,1
1,10,76,1,1,1
89,10,4960,1,1,1
294,41,56321,1,2,1
39,52,4238,1,1,1
50,52,5305,1,1,1
94,52,10783,1,1,1
127,52,16162,1,1,1
138,52,18197,1,1,1
182,52,27547,1,1,1
193,52,30187,1,1,1
215,52,35830,1,1,1
226,52,38833,1,1,1
281,52,55663,1,2,1
3,66,2481,1,1,1
47,66,6507,1,1,1
180,67,30695,1,1,1
350,67,87220,1,2,1
124,76,20176,1,1,1
262,77,57707,1,2,1
217,78,43738,1,1,1
82,79,13120,1,1,1
269,79,60805,1,2,1
313,79,77107,1,2,1
132,80,22658,1,1,1
15,84,5034,1,1,1
26,84,6189,1,1,1
59,84,10380,1,1,1
70,84,12019,1,1,1
191,84,38034,1,1,1
235,84,51124,1,1,1
246,84,54699,1,1,1
225,86,48602,1,1,1
338,88,91039,1,2,1
172,89,34280,1,1,1
197,89,41130,1,1,1
285,89,70214,1,2,1
295,89,74009,1,2,1
329,89,87660,1,2,1
47,91,9682,1,1,1
114,93,21621,1,1,1
147,94,29255,1,1,1
158,94,31972,1,1,1
36,95,8741,1,1,1
103,95,19796,1,1,1
279,95,70220,1,2,1
259,96,63286,1,2,1
306,96,81099,1,2,1
197,103,45253,1,1,1
329,103,93631,1,2,1
285,104,75959,1,2,1
176,105,39726,1,1,1
217,105,52108,1,1,1
82,106,17872,1,1,1
269,106,70606,1,2,1
346,106,102484,1,2,1
224,108,55386,1,1,1
15,109,7859,1,1,1
103,109,22687,1,1,1
235,109,59449,1,1,1
262,111,69862,1,2,1
323,112,94942,1,2,1
114,116,26681,1,1,1
131,116,30744,1,1,1
295,117,85195,1,2,1
197,118,49888,1,1,1
285,118,81524,1,2,1
329,118,100246,1,2,1
158,121,39181,1,1,1
246,121,67649,1,1,1
6,122,8378,1,1,1
28,122,11447,1,1,1
138,122,34052,1,1,1
61,123,17143,1,1,1
72,123,19233,1,1,1
349,123,111751,1,2,1
105,124,26459,1,1,1
269,124,77545,1,2,1
262,125,75203,1,2,1
50,126,15702,1,1,1
86,127,22918,1,1,1
217,127,59467,1,1,1
225,127,62255,1,1,1
306,127,94088,1,2,1
295,130,90655,1,2,1
317,130,100258,1,2,1
339,130,110345,1,2,1
175,134,48029,1,1,1
197,139,56755,1,1,1
285,140,90665,1,2,1
269,142,84808,1,2,1
346,142,119458,1,2,1
15,143,12704,1,1,1
26,143,14508,1,1,1
59,143,20646,1,1,1
70,143,22934,1,1,1
103,143,30524,1,1,1
147,143,42338,1,1,1
262,144,82765,1,2,1
86,147,27408,1,1,1
323,147,110832,1,2,1
157,149,47120,1,1,1
190,149,57779,1,1,1
234,149,73685,1,1,1
245,149,77964,1,1,1
36,150,17541,1,1,1
124,150,37825,1,1,1
300,150,101625,1,2,1
306,153,105723,1,2,1
197,154,61930,1,1,1
279,154,94115,1,2,1
285,154,96734,1,2,1
0,155,12245,1,1,1
110,156,35667,1,1,1
70,157,26035,1,1,1
269,160,92395,1,2,1
176,161,57114,1,1,1
262,163,90688,1,2,1
191,164,63354,1,1,1
235,164,79964,1,1,1
246,164,84419,1,1,1
323,165,119481,1,2,1
349,165,132520,1,2,1
307,166,112267,1,2,1
316,171,118999,1,2,1
217,172,76027,1,1,1
294,177,111333,1,2,1
15,178,18899,1,1,1
26,178,21088,1,1,1
36,178,23183,1,1,1
59,178,28381,1,1,1
70,178,31054,1,1,1
103,178,39799,1,1,1
124,178,45931,1,1,1
147,178,53153,1,1,1
158,178,56794,1,1,1
191,178,68443,1,1,1
202,178,72568,1,1,1
235,178,85669,1,1,1
246,178,90278,1,1,1
256,178,94573,1,2,1
280,178,105289,1,2,1
172,179,61955,1,1,1
262,181,98527,1,2,1
269,182,102108,1,2,1
316,187,126943,1,2,1
338,187,138262,1,2,1
218,189,83217,1,1,1
306,189,122949,1,2,1
300,193,121964,1,2,1
279,195,112770,1,2,1
8,196,21106,1,1,1
19,196,23416,1,1,1
30,196,25847,1,1,1
41,196,28399,1,1,1
52,196,31072,1,1,1
63,196,33866,1,1,1
74,196,36781,1,1,1
96,196,42974,1,1,1
107,196,46252,1,1,1
118,196,49651,1,1,1
129,196,53171,1,1,1
140,196,56812,1,1,1
151,196,60574,1,1,1
162,196,64457,1,1,1
184,196,72586,1,1,1
206,196,81199,1,1,1
239,196,95026,1,1,1
262,198,106228,1,2,1
82,200,40103,1,1,1
269,200,110415,1,2,1
176,203,72213,1,1,1
217,204,89035,1,1,1
308,204,131532,1,2,1
349,205,153940,1,2,1
295,206,125957,1,2,1
338,207,148992,1,2,1
209,210,88200,1,1,1
0,212,22790,1,1,1
99,212,48728,1,1,1
132,212,59552,1,1,1
275,212,119040,1,2,1
262,213,113263,1,2,1
316,216,141994,1,2,1
247,217,108097,1,1,1
172,219,76855,1,1,1
